chapter_no,chapter_name,video_link
11.3,The Integral Test and Estimates of Sums,https://youtu.be/QEBkT-Pgqos
11.4,The Comparison Tests,https://youtu.be/MK_0QHbUnIA
11.5,Alternating Series and Absolute Convergence,-
11.6,The Ratio and Root Tests,-
11.8,Power Series,https://youtu.be/wOHrNt9ScYs
11.9,Representations of Functions as Power Series,https://youtu.be/wOHrNt9ScYs
11.1,Taylor and Maclaurin Series,https://youtu.be/wOHrNt9ScYs
11.11,Applications of Taylor Polynomials,https://youtu.be/wOHrNt9ScYs
12.1,Three Dimensional Coordinate Systems,-
12.2,Vectors,https://youtu.be/PxCxlsl_YwY
12.3,The Dot Product,https://youtu.be/PxCxlsl_YwY
12.4,The Cross Product,https://youtu.be/9FLItlbBUPY
12.5,Equations of Lines and Planes,https://youtu.be/YBajUR3EFSM
13.1,Vector Functions and Space Curves,https://youtu.be/57jzPlxf4fk
13.2,Derivatives and Integrals of Vector Functions,https://youtu.be/dK3NEf13nPc
13.3,Arc Length and Curvature,-
