chapter_no,chapter_name,video_link
1.5,Inverse Trigonometric Functions,-
2.4,The Precise Definition of a Limit,https://youtu.be/ryLdyDrBfvI
3.5,Implicit Differentiation,https://youtu.be/5q_3FDOkVRQ
3.6,"Inverse Trigonometric Functions, their derivatives",-
3.11,Hyperbolic Functions,https://youtu.be/er_tQOBgo-I
3.10,Linear Approximations and Differentials,https://youtu.be/sRIDVAcoG5A
4.2,The Mean Value Theorem,https://youtu.be/4Q37iOyBq44
4.4,Indeterminate Forms and L'Hopital's Rule,-
5.3,The Fundamental Theorem of Calculus,https://youtu.be/1RLctDS2hUQ https://youtu.be/Pd2xP5zDsRw
6.2,Volumes,https://youtu.be/ShGBRUx2ub8
6.3,Volumes by Cylindrical Shells,-
7.1,Review,-
7.8,Improper Integrals,https://youtu.be/KhwQKE_tld0
8.1,Arc Length,https://youtu.be/v1AQ8Yi3yB8
8.2,Area of a Surface of Revolution,-
10.1,Curves Defined by Parametric Equations,https://youtu.be/TpWQlKHPyJ4
10.2,Calculus in Parametric Curves,-
10.3,Polar Coordinates,https://youtu.be/XRkgBWbWvg4
10.4,Calculus in Polar Coordinates,-
